ID,Family_Income,Gender,Interaction_1,Interaction_2,Interaction_3,Interaction_4,Interaction_5,Interaction_6,Interaction_7,Interaction_8,Interaction_9,School_Readiness_1,School_Readiness_2,School_Readiness_3,School_Readiness_4,School_Readiness_5,School_Readiness_6,School_Readiness_7,School_Readiness_8,School_Readiness_9,School_Readiness_10,School_Readiness_11,School_Readiness_12,School_Readiness_13,School_Readiness_14,School_Readiness_15,School_Readiness_16,School_Readiness_17,School_Readiness_18,School_Readiness_19,School_Readiness_20,School_Readiness_21,School_Readiness_22,Self_Regulation_1,Self_Regulation_2,Self_Regulation_3,Self_Regulation_4,Self_Regulation_5,Self_Regulation_6,Self_Regulation_7
104049,450,1,1,2,2,2,2,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,2,1,3,3,3,3
104051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104052,250,1,2,2,1,2,2,1,3,1,2,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,3,2,3,3,3,3,3,3
104053,450,1,2,4,2,2,2,2,2,2,3,4,3,4,4,4,4,4,4,3,2,2,2,3,4,4,4,4,3,3,4,4,4,1,1,3,2,2,2,1
104054,170,2,2,2,1,2,2,1,1,1,1,4,4,4,4,4,3,3,3,2,2,3,2,3,2,2,4,3,3,3,4,4,3,2,3,2,2,2,3,2
104055,700,1,3,3,2,3,3,3,1,2,2,4,3,4,3,4,4,4,4,3,3,3,3,4,4,4,3,3,3,4,4,4,4,2,2,3,3,3,2,3
104056,500,1,2,2,2,2,1,2,1,1,1,4,3,4,4,4,4,4,3,3,3,4,2,3,3,3,4,3,3,3,4,4,3,2,2,2,2,2,2,3
104057,500,2,3,4,4,3,2,2,2,3,3,4,4,3,3,3,3,4,4,4,4,3,4,3,4,4,4,3,3,4,4,4,3,3,3,2,2,2,2,3
104058,400,1,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,3,3,3,4,2,4,4,3,4,4,4,4,4,3,2,3,2,2,3,3
104059,400,2,4,3,2,2,2,1,1,1,2,3,3,4,4,3,4,4,4,3,3,3,3,3,3,2,3,3,3,3,4,4,3,1,3,2,1,2,2,1
104060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104061,400,1,2,2,3,2,2,2,2,2,2,4,3,4,4,4,4,4,4,4,3,3,4,3,3,4,4,4,4,4,4,4,3,2,2,2,3,3,3,3
104062,450,2,2,2,3,2,3,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,3,3
104063,350,2,2,3,3,2,2,2,2,2,2,4,3,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,4,3,4,4,4,3,3,3,3,3,3,3
104064,800,1,3,4,2,2,2,2,2,2,4,4,3,4,3,4,4,4,4,4,4,4,3,3,4,4,3,4,4,3,4,4,4,2,3,3,3,2,2,2
104065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104068,310,2,2,2,2,2,1,1,1,1,2,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,3,4,4,3,4,3,3,3,3,3,3,3
104069,500,1,3,3,3,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,3,4,4,4,4,2,2,2,3,3,2,3
104070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104071,400,2,2,3,3,4,2,2,2,2,2,4,3,4,4,4,4,4,4,4,4,2,4,3,4,4,4,4,4,4,4,4,3,3,3,3,1,3,3,2
104072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104073,700,2,2,3,3,3,3,3,3,2,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,3,3,2,2,3,2,2,3
104075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104082,600,1,3,3,2,2,2,2,2,1,1,4,3,4,4,4,4,4,4,3,3,3,2,3,4,4,3,3,3,3,4,4,3,3,3,2,3,3,2,2
104083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104087,300,2,2,3,2,2,3,3,2,1,2,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2
104088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104090,500,2,2,3,2,2,3,1,1,2,2,4,3,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,3,4,4,4,2,2,2,3,3,3,3
104091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104092,220,1,4,3,3,2,2,2,2,2,3,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
104093,900,2,2,4,2,2,3,2,2,2,2,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,3,2,4,4,3,1,1,1,1,1,1,2
104094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104095,600,1,2,2,2,2,4,3,3,2,2,4,3,4,3,4,4,3,2,2,2,2,3,2,2,3,4,3,4,3,4,4,4,3,3,3,3,3,3,2
104096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104098,470,1,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,3
104099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104101,600,1,3,3,3,2,2,2,2,2,2,4,2,4,2,4,4,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,2,2,3,2,2,3
